,Name1,GHR-webpage1,frequency1,Description1,,Inheritance-pattern1,,Related-gene-list1,,,Synonym-list1,Db-key-list1,key1,reviewed1,published,,,,
,,,,,"Episodes typically last less than five minutes, and the frequency of episodes",,,,,,,,,,,,,,
,,,,,"ranges from one per month to 100 per day. In most affected individuals, episodes",,,,,,,,,,,,,,
,,,,,"occur less often with age.",,,,,,,,,,,,,,
,,,,html:p,"In some people with familial paroxysmal kinesigenic dyskinesia the disorder",,,,,,,,,,,,,,
,,,,,"begins in infancy with recurring seizures called benign infantile convulsions.",,,,,,,,,,,,,,
,,,,,"These seizures usually develop in the first year of life and stop by age 3. When",,,,,,,,,,,,,,
,,,,,"benign infantile convulsions are associated with familial paroxysmal",,,,,,,,,,,,,,
,,,,,"kinesigenic dyskinesia, the condition is known as infantile convulsions and",,,,,,,,,,,,,,
,,,,,"choreoathetosis (ICCA). In families with ICCA, some individuals develop only",,,,,,,,,,,,,,
,,,,,"benign infantile convulsions, some have only familial paroxysmal kinesigenic",,,,,,,,,,,,,,
,,,,,"dyskinesia, and others develop both.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
,"Familial paroxysmal nonkinesigenic dyskinesia",https://ghr.nlm.nih.gov/condition/familial-paroxysmal-nonkinesigenic-dyskinesia,"Familial paroxysmal nonkinesigenic dyskinesia is a very rare disorder. Its",html:p,"Familial paroxysmal nonkinesigenic dyskinesia is a disorder of the nervous",ad,"autosomal dominant",,PNKD,https://ghr.nlm.nih.gov/gene/PNKD,"familial paroxysmal choreoathetosis",db,key,2017-08,2017-12-29,,,,
,家族性陣發性非動作誘發型運動困難,,"prevalence is estimated to be 1 in 5 million people.",,"system that causes episodes of involuntary movement. Paroxysmal indicates that",,,,,,"Mount-Reback syndrome",GTR,C1869117,,,,,,
,,,,,"the abnormal movements come and go over time. Nonkinesigenic means that episodes",,,,,,"nonkinesigenic choreoathetosis",db,key,,,,,,
,,,,,"are not triggered by sudden movement. Dyskinesia broadly refers to involuntary",,,,,,"paroxysmal dystonic choreoathetosis",GTR,C1970149,,,,,,
,,,,,"movement of the body.",,,,,,"paroxysmal nonkinesigenic dyskinesia",db,key,,,,,,
,,,,html:p,"People with familial paroxysmal nonkinesigenic dyskinesia experience episodes of",,,,,,PDC,GeneReviews,pnknd,,,,,,
,,,,,"abnormal movement that are brought on by alcohol, caffeine, stress, fatigue,",,,,,,PNKD,db,key,,,,,,
,,,,,"menses, or excitement or develop without a known cause. Episodes are not induced",,,,,,,MeSH,D020820,,,,,,
,,,,,"by exercise or sudden movement and do not occur during sleep. An episode is",,,,,,,db,key,,,,,,
,,,,,"characterized by irregular, jerking or shaking movements that range from mild to",,,,,,,OMIM,118800,,,,,,
,,,,,"severe. In this disorder, the dyskinesia can include slow, prolonged",,,,,,,db,key,,,,,,
,,,,,"contraction of muscles (dystonia); small, fast, ""dance-like"" motions (chorea);",,,,,,,OMIM,611147,,,,,,
,,,,,"writhing movements of the limbs (athetosis); and, rarely, flailing movements of",,,,,,,db,key,,,,,,
,,,,,"the limbs (ballismus). The dyskinesia also affects muscles in the torso and",,,,,,,"SNOMED CT",609218006,,,,,,
,,,,,"face. The type of abnormal movement varies among affected individuals, even",,,,,,,,,,,,,,
,,,,,"among affected members of the same family. Individuals with familial paroxysmal",,,,,,,,,,,,,,
,,,,,"nonkinesigenic dyskinesia do not lose consciousness during an episode. Most",,,,,,,,,,,,,,
,,,,,"people do not experience any neurological symptoms between episodes.",,,,,,,,,,,,,,
,,,,html:p,"Individuals with familial paroxysmal nonkinesigenic dyskinesia usually begin to",,,,,,,,,,,,,,
,,,,,"show signs and symptoms of the disorder during childhood or their early teens.",,,,,,,,,,,,,,
,,,,,"Episodes typically last 1 to 4 hours, and the frequency of episodes ranges from",,,,,,,,,,,,,,
,,,,,"several per day to one per year. In some affected individuals, episodes occur",,,,,,,,,,,,,,
,,,,,"less often with age.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
,"Familial partial lipodystrophy",https://ghr.nlm.nih.gov/condition/familial-partial-lipodystrophy,"Familial partial lipodystrophy is a rare disease, affecting an estimated 1",html:p,"Familial partial lipodystrophy is a rare condition characterized by an abnormal",ad,"autosomal dominant",,ADRA2A,https://ghr.nlm.nih.gov/gene/ADRA2A,"Dunnigan-Kobberling syndrome",db,key,2016-09,2017-12-29,,,,
,家族性部分脂肪代谢障碍,,"in 1 million people overall. Type 2 is the most common form, with more than 500",,"distribution of fatty (adipose) tissue. Adipose tissue is normally found in many",code,memo,related-gene,gene-symbol,ghr-page,FPL,GTR,C0271694,,,,,,
,,,"cases reported in the medical literature. Women tend to be diagnosed with",,"parts of the body, including beneath the skin and surrounding the internal",ar,"autosomal recessive",,AKT2,https://ghr.nlm.nih.gov/gene/AKT2,"Kobberling-Dunnigan syndrome",db,key,,,,,,
,,,"familial partial lipodystrophy more often than men, probably because a loss of",,"organs. It stores fat as a source of energy and also provides cushioning. In",,,related-gene,gene-symbol,ghr-page,"lipodystrophy, familial partial",GTR,C1720859,,,,,,
,,,"fat from the hips and limbs is more easily recognized in women, and",,"people with familial partial lipodystrophy, adipose tissue is lost from the",,,,CIDEC,https://ghr.nlm.nih.gov/gene/CIDEC,,db,key,,,,,,
,,,"complications such as diabetes and hypertriglyceridemia occur more commonly in",,"arms, legs, and hips, giving these parts of the body a very muscular appearance.",,,related-gene,gene-symbol,ghr-page,,GTR,C1720860,,,,,,
,,,women.,,"The fat that cannot be stored in the limbs builds up around the face and neck,",,,,LIPE,https://ghr.nlm.nih.gov/gene/LIPE,,db,key,,,,,,
,,,,,"and inside the abdomen. Excess fat in these areas gives individuals an",,,related-gene,gene-symbol,ghr-page,,GTR,C1720861,,,,,,
,,,,,"appearance described as ""cushingoid,"" because it resembles the physical features",,,,LMNA,https://ghr.nlm.nih.gov/gene/LMNA,,db,key,,,,,,
,,,,,"associated with a hormonal disorder called Cushing disease. This abnormal fat",,,related-gene,gene-symbol,ghr-page,,GTR,C3151268,,,,,,
,,,,,"distribution can begin anytime from childhood to adulthood.",,,,PLIN1,https://ghr.nlm.nih.gov/gene/PLIN1,,db,key,,,,,,
,,,,html:p,"Abnormal storage of fat in the body can lead to health problems in adulthood.",,,related-gene,gene-symbol,ghr-page,,GTR,C3808940,,,,,,
,,,,,"Many people with familial partial lipodystrophy develop insulin resistance, a",,,,PPARG,https://ghr.nlm.nih.gov/gene/PPARG,,db,key,,,,,,
,,,,,"condition in which the body's tissues cannot adequately respond to insulin,",,,,,,,GTR,C4014869,,,,,,
,,,,,"which is a hormone that normally helps to regulate blood sugar levels. Insulin",,,,,,,db,key,,,,,,
,,,,,"resistance may worsen to become a more serious disease called diabetes mellitus.",,,,,,,MeSH,D052496,,,,,,
,,,,,"Some people with familial partial lipodystrophy develop acanthosis nigricans, a",,,,,,,db,key,,,,,,
,,,,,"skin condition related to high levels of insulin in the bloodstream. Acanthosis",,,,,,,OMIM,151660,,,,,,
,,,,,"nigricans causes the skin in body folds and creases to become thick, dark, and",,,,,,,db,key,,,,,,
,,,,,velvety.,,,,,,,OMIM,604367,,,,,,
,,,,html:p,"Most people with familial partial lipodystrophy also have high levels of fats",,,,,,,db,key,,,,,,
,,,,,"called triglycerides circulating in the bloodstream (hypertriglyceridemia),",,,,,,,OMIM,608600,,,,,,
,,,,,"which can lead to inflammation of the pancreas (pancreatitis). Familial partial",,,,,,,db,key,,,,,,
,,,,,"lipodystrophy can also cause an abnormal buildup of fats in the liver (hepatic",,,,,,,OMIM,613877,,,,,,
,,,,,"steatosis), which can result in an enlarged liver (hepatomegaly) and abnormal",,,,,,,db,key,,,,,,
,,,,,"liver function. After puberty, some affected females develop multiple cysts on",,,,,,,OMIM,615238,,,,,,
,,,,,"the ovaries, an increased amount of body hair (hirsutism), and an inability to",,,,,,,db,key,,,,,,
,,,,,"conceive (infertility), which are likely related to hormonal changes.",,,,,,,OMIM,615980,,,,,,
,,,,html:p,"Researchers have described at least six forms of familial partial lipodystrophy,",,,,,,,db,key,,,,,,
,,,,,"which are distinguished by their genetic cause. The most common form of",,,,,,,Orphanet,98306,,,,,,
,,,,,"familial partial lipodystrophy is type 2, also called Dunnigan disease. In",,,,,,,db,key,,,,,,
,,,,,"addition to the signs and symptoms described above, some people with this type",,,,,,,"SNOMED CT",49292002,,,,,,
,,,,,"of the disorder develop muscle weakness (myopathy), abnormalities of the heart",,,,,,,,,,,,,,
,,,,,"muscle (cardiomyopathy), a form of heart disease called coronary artery disease,",,,,,,,,,,,,,,
,,,,,"and problems with the electrical system that coordinates the heartbeat (the",,,,,,,,,,,,,,
,,,,,"conduction system).",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
,"Familial pityriasis rubra pilaris",https://ghr.nlm.nih.gov/condition/familial-pityriasis-rubra-pilaris,"Familial pityriasis rubra pilaris is a rare condition. Its incidence is",html:p,"Familial pityriasis rubra pilaris is a rare genetic condition that affects the",ad,"autosomal dominant",,CARD14,https://ghr.nlm.nih.gov/gene/CARD14,"familial PRP",db,key,2013-03,2017-12-29,,,,
,家族性毛孔性紅糠疹,,"unknown, although the familial form appears to be the least common type of",,"skin. The name of the condition reflects its major features: The term",,,,,,,GTR,C0032027,,,,,,
,(Skin),,"pityriasis rubra pilaris.",,"""pityriasis"" refers to scaling; ""rubra"" means redness; and ""pilaris"" suggests",,,,,,,db,key,,,,,,
,,,,,"the involvement of hair follicles in this disorder. Affected individuals have a",,,,,,,ICD-10-CM,L44.0,,,,,,
,,,,,"salmon-colored skin rash covered in fine scales. This rash occurs in patches all",,,,,,,db,key,,,,,,
,,,,,"over the body, with distinct areas of unaffected skin between the patches.",,,,,,,MeSH,D010916,,,,,,
,,,,,"Affected individuals also develop bumps called follicular keratoses that occur",,,,,,,db,key,,,,,,
,,,,,"around hair follicles. The skin on the palms of the hands and soles of the feet",,,,,,,OMIM,173200,,,,,,
,,,,,"often becomes thick, hard, and callused, a condition known as palmoplantar",,,,,,,db,key,,,,,,
,,,,,keratoderma.,,,,,,,Orphanet,2897,,,,,,
,,,,html:p,"Researchers have distinguished six types of pityriasis rubra pilaris based on",,,,,,,db,key,,,,,,
,,,,,"the features of the disorder and the age at which signs and symptoms appear. The",,,,,,,"SNOMED CT",238622008,,,,,,
,,,,,"familial form is usually considered part of type V, which is also known as the",,,,,,,,,,,,,,
,,,,,"atypical juvenile type. People with familial pityriasis rubra pilaris typically",,,,,,,,,,,,,,
,,,,,"have skin abnormalities from birth or early childhood, and these skin problems",,,,,,,,,,,,,,
,,,,,"persist throughout life.",,,,,,,,,,,,,,
,,,,,,inheritance-pattern-list,,,related-gene-list,,,,,,,,,,
,"Familial porencephaly",https://ghr.nlm.nih.gov/condition/familial-porencephaly,"Familial porencephaly is a rare condition, although the exact prevalence is",html:p,"Familial porencephaly is part of a group of conditions called the COL4A1-related disorders. ",,ad,"autosomal dominant",,COL4A1,synonym,db-key,db,key,2011-09,2017-12-29,,,
,家族性腦穿通畸形,,"unknown. At least eight affected families have been described in the scientific",,"The conditions in this group have a range of signs and symptoms that involve ",,,,,,synonym,,GTR,C1867983,,,,,
,,,literature.,,"fragile blood vessels. In familial porencephaly, fluid-filled cysts develop in the",,,,,,synonym,db-key,db,key,,,,,
,,,,,"brain (porencephaly) during fetal development or soon after birth. These cysts ",,,,,,,,GeneReviews,col4a1-dis,,,,,
,,,,,"typically occur in only one side of the brain and vary in size. The cysts are ",,,,,,,db-key,db,key,,,,,
,,,,,"thought to be the result of bleeding within the brain (hemorrhagic stroke). ",,,,,,,,ICD-10-CM,Q04.6,,,,,
,,,,,"People with this condition also have leukoencephalopathy, which is a change in ",,,,,,,db-key,db,key,,,,,
,,,,,"a type of brain tissue called white matter that can be seen with magnetic resonance imaging (MRI).",,,,,,,,MeSH,D065708,,,,,
,,,,html:p,"During infancy, people with familial porencephaly typically have paralysis",,,,,,,db-key,db,key,,,,,
,,,,,"affecting one side of the body (infantile hemiplegia). Affected individuals may",,,,,,,,OMIM,175780,,,,,
,,,,,"also have recurrent seizures (epilepsy), migraine headaches, speech problems,",,,,,,,db-key,db,key,,,,,
,,,,,"intellectual disability, and uncontrolled muscle tensing (dystonia). Some people",,,,,,,,Orphanet,99810,,,,,
,,,,,"are severely affected, and others may have no symptoms related to the brain",,,,,,,db-key,db,key,,,,,
,,,,,cysts.,,,,,,,,"SNOMED CT",38353004,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
,"Familial restrictive cardiomyopathy",https://ghr.nlm.nih.gov/condition/familial-restrictive-cardiomyopathy,"The prevalence of familial restrictive cardiomyopathy is unknown. Although",html:p,"Familial restrictive cardiomyopathy is a genetic form of heart disease. For the",ad,"autosomal dominant",,ACTC1,https://ghr.nlm.nih.gov/gene/ACTC1,"cardiomyopathy, restrictive",db,key,2011-01,2017-12-29,,,,
,,,"cardiomyopathy is a relatively common condition, restrictive cardiomyopathy, in",,"heart to beat normally, the heart (cardiac) muscle must contract and relax in a",,,related-gene,gene-symbol,ghr-page,RCM,GTR,C0340429,,,,,,
,,,"which relaxation of the heart muscle is impaired, is the least common type. Some",,"coordinated way. Oxygen-rich blood from the lungs travels first through the",,,,MYH7,https://ghr.nlm.nih.gov/gene/MYH7,,db,key,,,,,,
,,,"other forms of cardiomyopathy involve a weak or enlarged heart muscle with",,"upper chambers of the heart (the atria), and then to the lower chambers of the",,,related-gene,gene-symbol,ghr-page,,GTR,C1861861,,,,,,
,,,"impaired contraction. In the United States and in Europe, restrictive",,"heart (the ventricles).",,,,TNNI3,https://ghr.nlm.nih.gov/gene/TNNI3,,db,key,,,,,,
,,,"cardiomyopathy accounts for less than five percent of all cardiomyopathies. The",html:p,"In people with familial restrictive cardiomyopathy, the heart muscle is stiff",,,related-gene,gene-symbol,ghr-page,,GTR,C1865071,,,,,,
,,,"proportion of restrictive cardiomyopathy that runs in families is not known.",,"and cannot fully relax after each contraction. Impaired muscle relaxation causes",,,,TNNT2,https://ghr.nlm.nih.gov/gene/TNNT2,,db,key,,,,,,
,,,,,"blood to back up in the atria and lungs, which reduces the amount of blood in",,,,,,,GTR,C2676271,,,,,,
,,,,,"the ventricles.",,,,,,,db,key,,,,,,
,,,,html:p,"Familial restrictive cardiomyopathy can appear anytime from childhood to",,,,,,,ICD-10-CM,I42.5,,,,,,
,,,,,"adulthood. The first signs and symptoms of this condition in children are",,,,,,,db,key,,,,,,
,,,,,"failure to gain weight and grow at the expected rate (failure to thrive),",,,,,,,MeSH,D002313,,,,,,
,,,,,"extreme tiredness (fatigue), and fainting. Children who are severely affected",,,,,,,db,key,,,,,,
,,,,,"may also have abnormal swelling or puffiness (edema), increased blood pressure,",,,,,,,OMIM,115210,,,,,,
,,,,,"an enlarged liver, an abnormal buildup of fluid in the abdominal cavity",,,,,,,db,key,,,,,,
,,,,,"(ascites), and lung congestion. Some children with familial restrictive",,,,,,,OMIM,609578,,,,,,
,,,,,"cardiomyopathy do not have any obvious signs or symptoms, but they may die",,,,,,,db,key,,,,,,
,,,,,"suddenly due to heart failure. Without treatment, the majority of affected",,,,,,,OMIM,612422,,,,,,
,,,,,"children survive only a few years after they are diagnosed.",,,,,,,db,key,,,,,,
,,,,html:p,"Adults with familial restrictive cardiomyopathy typically first develop",,,,,,,Orphanet,217635,,,,,,
,,,,,"shortness of breath, fatigue, and a reduced ability to exercise. Some",,,,,,,db,key,,,,,,
,,,,,"individuals have an irregular heart beat (arrhythmia) and may also experience a",,,,,,,"SNOMED CT",233878008,,,,,,
,,,,,"sensation of fluttering or pounding in the chest (palpitations) and dizziness.",,,,,,,,,,,,,,
,,,,,"Abnormal blood clots are commonly seen in adults with this condition. Without",,,,,,,,,,,,,,
,,,,,"treatment, approximately one-third of adults with familial restrictive",,,,,,,,,,,,,,
,,,,,"cardiomyopathy do not survive more than five years after diagnosis.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
,"Familial thoracic aortic aneurysm and dissection",https://ghr.nlm.nih.gov/condition/familial-thoracic-aortic-aneurysm-and-dissecti,"Familial TAAD is believed to account for at least 20 percent of thoracic",html:p,"Familial thoracic aortic aneurysm and dissection (familial TAAD) involves",ad,"autosomal dominant",,ACTA2,https://ghr.nlm.nih.gov/gene/ACTA2,"annuloaortic ectasia",db,key,2015-01,2017-12-29,,,,
,家族性胸腔主動脈瘤剝離症候群,on,"aortic aneurysms and dissections. In the remainder of cases, the abnormalities",,"problems with the aorta, which is the large blood vessel that distributes blood",,,related-gene,gene-symbol,ghr-page,"congenital aneurysm of ascending aorta",GTR,C0345050,,,,,,
,,,"are thought to be caused by factors that are not inherited, such as damage to",,"from the heart to the rest of the body. Familial TAAD affects the upper part of",,,,FBN1,https://ghr.nlm.nih.gov/gene/FBN1,FAA,db,key,,,,,,
,,,"the walls of the aorta from aging, tobacco use, injury, or disease.While aortic",,"the aorta, near the heart. This part of the aorta is called the thoracic aorta",,,related-gene,gene-symbol,ghr-page,"familial aortic aneurysm",GTR,C1846837,,,,,,
,,,"aneurysms are common worldwide, it is difficult to determine their exact",,"because it is located in the chest (thorax). Other vessels that carry blood from",,,,MYH11,https://ghr.nlm.nih.gov/gene/MYH11,"familial aortic dissection",db,key,,,,,,
,,,"prevalence because they usually cause no symptoms unless they rupture. Ruptured",,"the heart to the rest of the body (arteries) can also be affected.",,,related-gene,gene-symbol,ghr-page,"familial TAAD",GTR,C1851504,,,,,,
,,,"aortic aneurysms and dissections are estimated to cause almost 30,000 deaths in",html:p,"In familial TAAD, the aorta can become weakened and stretched (aortic",,,,MYLK,https://ghr.nlm.nih.gov/gene/MYLK,"familial thoracic aortic aneurysm",db,key,,,,,,
,,,"the United States each year.",,"dilatation), which can lead to a bulge in the blood vessel wall (an aneurysm).",,,related-gene,gene-symbol,ghr-page,FTAAD,GTR,C2673186,,,,,,
,,,,,"Aortic dilatation may also lead to a sudden tearing of the layers in the aorta",,,,PRKG1,https://ghr.nlm.nih.gov/gene/PRKG1,TAA,db,key,,,,,,
,,,,,"wall (aortic dissection), allowing blood to flow abnormally between the layers.",,,related-gene,gene-symbol,ghr-page,TAAD,GTR,CN118826,,,,,,
,,,,,"These aortic abnormalities are potentially life-threatening because they can",,,,SMAD3,https://ghr.nlm.nih.gov/gene/SMAD3,"thoracic aortic aneurysm",db,key,,,,,,
,,,,,"decrease blood flow to other parts of the body such as the brain or other vital",,,related-gene,gene-symbol,ghr-page,,GeneReviews,taa,,,,,,
,,,,,"organs, or cause the aorta to break open (rupture).",,,,TGFBR1,https://ghr.nlm.nih.gov/gene/TGFBR1,,db,key,,,,,,
,,,,html:p,"The occurrence and timing of these aortic abnormalities vary, even within the",,,related-gene,gene-symbol,ghr-page,,ICD-10-CM,I71.0,,,,,,
,,,,,"same affected family. They can begin in childhood or not occur until late in",,,,TGFBR2,https://ghr.nlm.nih.gov/gene/TGFBR2,,db,key,,,,,,
,,,,,"life. Aortic dilatation is generally the first feature of familial TAAD to",,,,,,,ICD-10-CM,I71.00,,,,,,
,,,,,"develop, although in some affected individuals dissection occurs with little or",,,,,,,db,key,,,,,,
,,,,,"no aortic dilatation.",,,,,,,ICD-10-CM,I71.01,,,,,,
,,,,html:p,"Aortic aneurysms usually have no symptoms. However, depending on the size,",,,,,,,db,key,,,,,,
,,,,,"growth rate, and location of these abnormalities, they can cause pain in the",,,,,,,ICD-10-CM,I71.1,,,,,,
,,,,,"jaw, neck, chest, or back; swelling in the arms, neck, or head; difficult or",,,,,,,db,key,,,,,,
,,,,,"painful swallowing; hoarseness; shortness of breath; wheezing; a chronic cough;",,,,,,,ICD-10-CM,I71.2,,,,,,
,,,,,"or coughing up blood. Aortic dissections usually cause severe, sudden chest or",,,,,,,db,key,,,,,,
,,,,,"back pain, and may also result in unusually pale skin (pallor), a very faint",,,,,,,ICD-10-CM,I71.03,,,,,,
,,,,,"pulse, numbness or tingling (paresthesias) in one or more limbs, or paralysis.",,,,,,,db,key,,,,,,
,,,,html:p,"Familial TAAD may not be associated with other signs and symptoms. However, some",,,,,,,ICD-10-CM,I71.5,,,,,,
,,,,,"individuals in affected families show mild features of related conditions",,,,,,,db,key,,,,,,
,,,,,"called Marfan syndrome or Loeys-Dietz syndrome. These features include tall",,,,,,,ICD-10-CM,I71.6,,,,,,
,,,,,"stature, stretch marks on the skin, an unusually large range of joint movement",,,,,,,db,key,,,,,,
,,,,,"(joint hypermobility), and either a sunken or protruding chest. Occasionally,",,,,,,,MeSH,D017545,,,,,,
,,,,,"people with familial TAAD develop aneurysms in the brain or in the section of",,,,,,,db,key,,,,,,
,,,,,"the aorta located in the abdomen (abdominal aorta). Some people with familial",,,,,,,OMIM,132900,,,,,,
,,,,,"TAAD have heart abnormalities that are present from birth (congenital). Affected",,,,,,,db,key,,,,,,
,,,,,"individuals may also have a soft out-pouching in the lower abdomen (inguinal",,,,,,,OMIM,607086,,,,,,
,,,,,"hernia), an abnormal curvature of the spine (scoliosis), or a purplish skin",,,,,,,db,key,,,,,,
,,,,,"discoloration (livedo reticularis) caused by abnormalities in the tiny blood",,,,,,,OMIM,607087,,,,,,
,,,,,"vessels of the skin (dermal capillaries). However, these conditions are also",,,,,,,db,key,,,,,,
,,,,,"common in the general population. Depending on the genetic cause of familial",,,,,,,OMIM,611788,,,,,,
,,,,,"TAAD in particular families, they may have an increased risk of developing",,,,,,,db,key,,,,,,
,,,,,"blockages in smaller arteries, which can lead to heart attack and stroke.",,,,,,,OMIM,613780,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,615436,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,Orphanet,229,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,related-gene-list,,,,"SNOMED CT",433068007,,,,,,
,"Fanconi anemia",https://ghr.nlm.nih.gov/condition/fanconi-anemia,"Fanconi anemia occurs in 1 in 160,000 individuals worldwide. This condition",html:p,"Fanconi anemia is a condition that affects many parts of the body. People with",ar,"autosomal recessive",,BRCA2,https://ghr.nlm.nih.gov/gene/BRCA2,FA,db,key,2012-01,2017-12-29,,,,
,"Fanconi 貧血症",,"is more common among people of Ashkenazi Jewish descent, the Roma population of",,"this condition may have bone marrow failure, physical abnormalities, organ",code,memo,related-gene,gene-symbol,ghr-page,"Fanconi hypoplastic anemia",GTR,C0015625,,,,,,
,,,"Spain, and black South Africans.",,"defects, and an increased risk of certain cancers.",xr,"X-linked recessive",,BRIP1,https://ghr.nlm.nih.gov/gene/BRIP1,"Fanconi pancytopenia",db,key,,,,,,
,,,,html:p,"The major function of bone marrow is to produce new blood cells. These include",,,related-gene,gene-symbol,ghr-page,"Fanconi panmyelopathy",GTR,C1835817,,,,,,
,,,,,"red blood cells, which carry oxygen to the body's tissues; white blood cells,",,,,FANCA,https://ghr.nlm.nih.gov/gene/FANCA,,db,key,,,,,,
,,,,,"which fight infections; and platelets, which are necessary for normal blood",,,related-gene,gene-symbol,ghr-page,,GTR,C1836860,,,,,,
,,,,,"clotting. Approximately 90 percent of people with Fanconi anemia have impaired",,,,FANCB,https://ghr.nlm.nih.gov/gene/FANCB,,db,key,,,,,,
,,,,,"bone marrow function that leads to a decrease in the production of all blood",,,related-gene,gene-symbol,ghr-page,,GTR,C1836861,,,,,,
,,,,,"cells (aplastic anemia 再生不良性貧血). Affected individuals experience extreme tiredness",,,,FANCC,https://ghr.nlm.nih.gov/gene/FANCC,,db,key,,,,,,
,,,,,"(fatigue) due to low numbers of red blood cells (anemia), frequent infections",,,related-gene,gene-symbol,ghr-page,,GTR,C1838457,,,,,,
,,,,,"due to low numbers of white blood cells (neutropenia), and clotting problems due",,,,FANCD2,https://ghr.nlm.nih.gov/gene/FANCD2,,db,key,,,,,,
,,,,,"to low numbers of platelets (thrombocytopenia). People with Fanconi anemia may",,,related-gene,gene-symbol,ghr-page,,GTR,C1845292,,,,,,
,,,,,"also develop myelodysplastic syndrome, a condition in which immature blood cells",,,,FANCE,https://ghr.nlm.nih.gov/gene/FANCE,,db,key,,,,,,
,,,,,"fail to develop normally.",,,related-gene,gene-symbol,ghr-page,,GTR,C3150653,,,,,,
,,,,html:p,"More than half of people with Fanconi anemia have physical abnormalities. These",,,,FANCF,https://ghr.nlm.nih.gov/gene/FANCF,,db,key,,,,,,
,,,,,"abnormalities can involve irregular skin coloring such as unusually",,,related-gene,gene-symbol,ghr-page,,GTR,C3160738,,,,,,
,,,,,"light-colored skin (hypopigmentation) or café-au-lait spots, which are flat",,,,FANCG,https://ghr.nlm.nih.gov/gene/FANCG,,db,key,,,,,,
,,,,,"patches on the skin that are darker than the surrounding area. Other possible",,,related-gene,gene-symbol,ghr-page,,GTR,C3160739,,,,,,
,,,,,"symptoms of Fanconi anemia include malformed thumbs or forearms and other",,,,FANCI,https://ghr.nlm.nih.gov/gene/FANCI,,db,key,,,,,,
,,,,,"skeletal problems including short stature; malformed or absent kidneys and other",,,related-gene,gene-symbol,ghr-page,,GTR,C3468041,,,,,,
,,,,,"defects of the urinary tract; gastrointestinal abnormalities; heart defects;",,,,FANCL,https://ghr.nlm.nih.gov/gene/FANCL,,db,key,,,,,,
,,,,,"eye abnormalities such as small or abnormally shaped eyes; and malformed ears",,,related-gene,gene-symbol,ghr-page,,GTR,C3469521,,,,,,
,,,,,"and hearing loss. People with this condition may have abnormal genitalia or",,,,FANCM,https://ghr.nlm.nih.gov/gene/FANCM,,db,key,,,,,,
,,,,,"malformations of the reproductive system. As a result, most affected males and",,,related-gene,gene-symbol,ghr-page,,GTR,C3469526,,,,,,
,,,,,"about half of affected females cannot have biological children (are infertile).",,,,PALB2,https://ghr.nlm.nih.gov/gene/PALB2,,db,key,,,,,,
,,,,,"Additional signs and symptoms can include abnormalities of the brain and spinal",,,related-gene,gene-symbol,ghr-page,,GTR,C3469527,,,,,,
,,,,,"cord (central nervous system), including increased fluid in the center of the",,,,RAD51C,https://ghr.nlm.nih.gov/gene/RAD51C,,db,key,,,,,,
,,,,,"brain (hydrocephalus) or an unusually small head size (microcephaly).",,,related-gene,gene-symbol,ghr-page,,GTR,C3469528,,,,,,
,,,,html:p,"Individuals with Fanconi anemia have an increased risk of developing a cancer of",,,,SLX4,https://ghr.nlm.nih.gov/gene/SLX4,,db,key,,,,,,
,,,,,"blood-forming cells in the bone marrow called acute myeloid leukemia (AML) or",,,,,,,GTR,C3469542,,,,,,
,,,,,"tumors of the head, neck, skin, gastrointestinal system, or genital tract. The",,,,,,,db,key,,,,,,
,,,,,"likelihood of developing one of these cancers in people with Fanconi anemia is",,,,,,,GTR,CN068499,,,,,,
,,,,,"between 10 and 30 percent.",,,,,,,db,key,,,,,,
,,,,,,,,,,,,GeneReviews,fa,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,ICD-10-CM,D61.09,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,MeSH,D005199,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,227645,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,227646,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,227650,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,300514,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,600901,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,603467,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,605724,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,609053,,,,,,
,,,,,,,,,,,,db,key,,,,,,
