Name1,GHR-webpage1,frequency1,Description1,,Related-gene-list1,,,Synonym-list1,Db-key-list1,key1,reviewed1,published,,,,
,,,,,,,,"mental retardation, X-linked, associated with fragile site FRAXE",db,key,,,,,,
,,,,,,,,"mental retardation, X-linked, FRAXE type",OMIM,309548,,,,,,
,,,,,,,,,db,key,,,,,,
,,,html:p,,,,,,Orphanet,100973,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",254288000,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Fraser syndrome",https://ghr.nlm.nih.gov/condition/fraser-syndrome,"Fraser syndrome affects an estimated 1 in 200,000 newborns. The condition",html:p,"autosomal recessive",,FRAS1,https://ghr.nlm.nih.gov/gene/FRAS1,"cryptophthalmos syndactyly syndrome",db,key,2014-06,2017-12-29,,,,
,,"occurs in approximately 1 in 10,000 fetuses that do not survive to birth.",,,related-gene,gene-symbol,ghr-page,"cryptophthalmos syndrome",GTR,C0265233,,,,,,
,,,,,,FREM2,https://ghr.nlm.nih.gov/gene/FREM2,"cryptophthalmos with other malformations",db,key,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,"Fraser-Francois syndrome",MeSH,D058497,,,,,,
,,,,,,GRIP1,https://ghr.nlm.nih.gov/gene/GRIP1,"Fraser's syndrome",db,key,,,,,,
,,,,,,,,"Meyer-Schwickerath syndrome",OMIM,219000,,,,,,
,,,,,,,,"Ullrich-Feichtiger syndrome",db,key,,,,,,
,,,,,,,,,Orphanet,2052,,,,,,
,,,html:p,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",204102004,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Frasier syndrome",https://ghr.nlm.nih.gov/condition/frasier-syndrome,"Frasier syndrome is thought to be a rare condition; approximately 50 cases",html:p,"autosomal dominant",,WT1,https://ghr.nlm.nih.gov/gene/WT1,FS,db,key,2013-03,2017-12-29,,,,
,,"have been described in the scientific literature.",html:p,,,,,,GTR,C0950122,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,MeSH,D052159,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,136680,,,,,,
,,,html:p,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,347,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",445431000,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Freeman-Sheldon syndrome",https://ghr.nlm.nih.gov/condition/freeman-sheldon-syndrome,"Freeman-Sheldon syndrome is a rare disorder; its exact prevalence is",html:p,"autosomal dominant",,MYH3,https://ghr.nlm.nih.gov/gene/MYH3,"craniocarpotarsal dysplasia",db,key,2010-09,2017-12-29,,,,
,,unknown.,,memo,,,,"craniocarpotarsal dystrophy",GTR,C0265224,,,,,,
,,,,"autosomal recessive",,,,DA2A,db,key,,,,,,
,,,,,,,,"distal arthrogryposis, type 2A",MeSH,D003394,,,,,,
,,,,,,,,FSS,db,key,,,,,,
,,,html:p,,,,,"whistling face syndrome",OMIM,193700,,,,,,
,,,,,,,,"whistling face-windmill vane hand syndrome",db,key,,,,,,
,,,,,,,,,Orphanet,2053,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",52616002,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Friedreich ataxia",https://ghr.nlm.nih.gov/condition/friedreich-ataxia,"Friedreich ataxia is estimated to affect 1 in 40,000 people in the United",html:p,"autosomal recessive",,FXN,https://ghr.nlm.nih.gov/gene/FXN,FA,db,key,2016-06,2017-12-29,,,,
,,"States. This condition is found in people with European, Middle Eastern, or",,,,,,FRDA,GTR,C1856689,,,,,,
,,"North African ancestry. It is rarely identified in other ethnic groups.",,,,,,"Friedreich spinocerebellar ataxia",db,key,,,,,,
,,,,,,,,"Friedrich's ataxia",GeneReviews,friedreich,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,MeSH,D005621,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,229300,,,,,,
,,,,,,,,,db,key,,,,,,
,,,html:p,,,,,,Orphanet,95,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",10394003,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Frontometaphyseal dysplasia",https://ghr.nlm.nih.gov/condition/frontometaphyseal-dysplasia,"Frontometaphyseal dysplasia is a rare disorder; only a few dozen cases have",html:p,"X-linked dominant",,FLNA,https://ghr.nlm.nih.gov/gene/FLNA,FMD,db,key,2007-11,2017-12-29,,,,
,,"been reported worldwide.",,,,,,,GTR,C0265293,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,GeneReviews,opd,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,MeSH,D010009,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,305620,,,,,,
,,,html:p,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,1826,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",62803002,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Frontonasal dysplasia",https://ghr.nlm.nih.gov/condition/frontonasal-dysplasia,"Frontonasal dysplasia is likely a rare condition; at least 100 cases have",html:p,"autosomal dominant",,ALX1,https://ghr.nlm.nih.gov/gene/ALX1,FND,db,key,2014-04,2017-12-29,,,,
,,"been reported in the scientific literature.",,memo,related-gene,gene-symbol,ghr-page,FNM,GTR,C1876203,,,,,,
,,,,"autosomal recessive",,ALX3,https://ghr.nlm.nih.gov/gene/ALX3,"frontonasal dysplasia sequence",db,key,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,"frontonasal malformation",GTR,C3150703,,,,,,
,,,,,,ALX4,https://ghr.nlm.nih.gov/gene/ALX4,frontorhiny,db,key,,,,,,
,,,,,,,,"median facial cleft syndrome",GTR,C3150706,,,,,,
,,,,,,,,,db,key,,,,,,
,,,html:p,,,,,,MeSH,D019465,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,136760,,,,,,
,,,html:p,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,613451,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,613456,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,250,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",254005007,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",86610004,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Frontotemporal dementia with parkinsonism-17",https://ghr.nlm.nih.gov/condition/frontotemporal-dementia-with-parkinsonism-17,"The worldwide prevalence of FTDP-17 is unknown. In the Netherlands, where",html:p,"autosomal dominant",,MAPT,https://ghr.nlm.nih.gov/gene/MAPT,DDPAC,db,key,2017-03,2017-12-29,,,,
,,"the disease prevalence has been studied, it is estimated to affect 1 in 1",,,,,,"disinhibition-dementia-parkinsonism-amytrophy complex",GTR,C0338451,,,,,,
,,"million people. However, the disorder is likely underdiagnosed, so it may",,,,,,"familial Pick's disease",db,key,,,,,,
,,"actually be more common than this estimate.FTDP-17 probably accounts for a small",,,,,,FTDP-17,GeneReviews,ftdp-17,,,,,,
,,"percentage of all cases of frontotemporal dementia.",,,,,,"Wilhelmsen-Lynch disease",db,key,,,,,,
,,,,,,,,,MeSH,D057180,,,,,,
,,,html:p,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,600274,,,,,,
,,,,,,,,,db,key,,,,,,
,,,html:p,,,,,,Orphanet,282,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",702429008,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,synonym-list,,db-key-list,,,,,,,,,
"Fryns syndrome",https://ghr.nlm.nih.gov/condition/fryns-syndrome,"The worldwide incidence of Fryns syndrome is unknown. More than 50 affected",html:p,"autosomal recessive",,,,key,2017-12-29,,,,,,,
,,"individuals have been reported in the medical literature. Studies suggest that",,,,,db-key,C0220730,,,,,,,,
,,"Fryns syndrome occurs in 1.3 to 10 percent of all cases of congenital",,,,,,key,,,,,,,,
,,"diaphragmatic hernia.",,,,,db-key,fryns,,,,,,,,
,,,html:p,,,,,key,,,,,,,,
,,,,,,,db-key,D000015,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,D006548,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,229850,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,html:p,,,,db-key,2059,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,,702432006,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Fuchs endothelial dystrophy",https://ghr.nlm.nih.gov/condition/fuchs-endothelial-dystrophy,"The late-onset form of Fuchs endothelial dystrophy is a common condition,",html:p,"autosomal dominant",,COL8A2,https://ghr.nlm.nih.gov/gene/COL8A2,"Fuchs atrophy",db,key,2011-06,2017-12-29,,,,
,,"affecting approximately 4 percent of people over the age of 40. The early-onset",,,related-gene,gene-symbol,ghr-page,"Fuchs corneal dystrophy",GTR,C1850959,,,,,,
,,"variant of Fuchs endothelial dystrophy is rare, although the exact prevalence is",,,,SLC4A11,https://ghr.nlm.nih.gov/gene/SLC4A11,"Fuchs dystrophy",db,key,,,,,,
,,"unknown.For reasons that are unclear, women are affected with Fuchs endothelial",,,related-gene,gene-symbol,ghr-page,"Fuchs endothelial corneal dystrophy",GTR,C1857800,,,,,,
,,"dystrophy somewhat more frequently than men.",,,,TCF4,https://ghr.nlm.nih.gov/gene/TCF4,"Fuchs' endothelial dystrophy",db,key,,,,,,
,,,html:p,,related-gene,gene-symbol,ghr-page,,GTR,C2750447,,,,,,
,,,,,,ZEB1,https://ghr.nlm.nih.gov/gene/ZEB1,,db,key,,,,,,
,,,,,,,,,GTR,C2750448,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,GTR,C2750449,,,,,,
,,,html:p,,,,,,db,key,,,,,,
,,,,,,,,,GTR,C2750450,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,GTR,C2750451,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,ICD-10-CM,H18.51,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,MeSH,D005642,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,136800,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,610158,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,613267,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,613268,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,613269,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,613270,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,613271,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,98974,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,related-gene-list,,,,"SNOMED CT",193839007,,,,,,
Fucosidosis,https://ghr.nlm.nih.gov/condition/fucosidosis,"Fucosidosis is a rare condition; approximately 100 cases have been reported",html:p,"autosomal recessive",,FUCA1,https://ghr.nlm.nih.gov/gene/FUCA1,"Alpha-fucosidase deficiency",db,key,2008-12,2017-12-29,,,,
,,"worldwide. This condition appears to be most prevalent in Italy, Cuba, and the",,,,,,"Fucosidase deficiency",GTR,C0016788,,,,,,
,,"southwestern United States.",,,,,,"Fucosidase Deficiency Disease",db,key,,,,,,
,,,,,,,,,ICD-10-CM,E77.1,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,MeSH,D005645,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,230000,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,349,,,,,,
,,,html:p,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",399045007,,,,,,
,,,,,,,,,db,key,,,,,,
,,,html:p,,,,,,"SNOMED CT",61172008,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",64716005,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Fukuyama congenital muscular dystrophy",https://ghr.nlm.nih.gov/condition/fukuyama-congenital-muscular-dystrophy,"Fukuyama congenital muscular dystrophy is seen almost exclusively in Japan,",html:p,"autosomal recessive",,FKTN,https://ghr.nlm.nih.gov/gene/FKTN,"Cerebromuscular dystrophy, Fukuyama type",db,key,2008-08,2017-12-29,,,,
,,"where it is the second most common form of childhood muscular dystrophy (after",,,,,,FCMD,GTR,C0410174,,,,,,
,,"Duchenne muscular dystrophy). Fukuyama congenital muscular dystrophy has an",,,,,,"Fukuyama CMD",db,key,,,,,,
,,"estimated incidence of 2 to 4 per 100,000 Japanese infants.",,,,,,"Fukuyama muscular dystrophy",GeneReviews,cmd-overview,,,,,,
,,,html:p,,,,,"Fukuyama syndrome",db,key,,,,,,
,,,,,,,,"Fukuyama type congenital muscular dystrophy",GeneReviews,fcmd,,,,,,
,,,,,,,,"Muscular dystrophy, congenital progressive, with mental retardation",db,key,,,,,,
,,,,,,,,"Muscular dystrophy, congenital, Fukuyama type",MeSH,D009136,,,,,,
,,,,,,,,"Muscular dystrophy, congenital, with central nervous system involvement",db,key,,,,,,
,,,,,,,,"Polymicrogyria with muscular dystrophy",OMIM,253800,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,272,,,,,,
,,,html:p,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",111502003,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Fumarase deficiency",https://ghr.nlm.nih.gov/condition/fumarase-deficiency,"Fumarase deficiency is a very rare disorder. Approximately 100 affected",html:p,"autosomal recessive",,FH,https://ghr.nlm.nih.gov/gene/FH,"fumarate hydratase deficiency",db,key,2017-09,2017-12-29,,,,
,,"individuals have been reported worldwide. Several were born in an isolated",,,,,,"fumaric aciduria",GTR,C0342770,,,,,,
,,"religious community in the southwestern United States.",,,,,,,db,key,,,,,,
,,,,,,,,,GeneReviews,fum,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,MeSH,D008661,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,606812,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,24,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",124616002,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,related-gene-list,,,,"SNOMED CT",237983002,,,,,,
"Fundus albipunctatus",https://ghr.nlm.nih.gov/condition/fundus-albipunctatus,"Fundus albipunctatus is a rare disorder. Its prevalence is unknown.",html:p,"autosomal recessive",,RDH5,https://ghr.nlm.nih.gov/gene/RDH5,"albipunctate retinal dystrophy",db,key,2017-02,2017-12-29,,,,
,,,,,related-gene,gene-symbol,ghr-page,"Lauber's disease",GTR,C0311338,,,,,,
,,,,,,RLBP1,https://ghr.nlm.nih.gov/gene/RLBP1,"pigmentary retinal dystrophy",db,key,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,ICD-10-CM,H35.52,,,,,,
,,,,,,RPE65,https://ghr.nlm.nih.gov/gene/RPE65,,db,key,,,,,,
,,,html:p,,,,,,MeSH,D009755,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,MeSH,D015785,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,136880,,,,,,
,,,html:p,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,227796,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",68222009,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
Galactosemia,https://ghr.nlm.nih.gov/condition/galactosemia,"Classic galactosemia occurs in 1 in 30,000 to 60,000 newborns.",html:p,"autosomal recessive",,GALE,https://ghr.nlm.nih.gov/gene/GALE,"classic galactosemia",db,key,2015-08,2017-12-29,,,,
,,"Galactosemia type II and type III are less common; type II probably affects",,,related-gene,gene-symbol,ghr-page,"epimerase deficiency galactosemia",GTR,C0016952,,,,,,
,,"fewer than 1 in 100,000 newborns and type III appears to be very rare.",,,,GALK1,https://ghr.nlm.nih.gov/gene/GALK1,"galactokinase deficiency disease",db,key,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,"galactose-1-phosphate uridyl-transferase deficiency disease",GTR,C0268151,,,,,,
,,,,,,GALT,https://ghr.nlm.nih.gov/gene/GALT,"galactose epimerase deficiency",db,key,,,,,,
,,,html:p,,,,,"GALE deficiency",GTR,C0268155,,,,,,
,,,,,,,,"GALK deficiency",db,key,,,,,,
,,,,,,,,"GALT deficiency",GTR,C0751161,,,,,,
,,,html:p,,,,,"UDP-galactose-4-epimerase deficiency disease",db,key,,,,,,
,,,,,,,,"UTP hexose-1-phosphate uridylyltransferase deficiency",GeneReviews,duarte-gal,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,GeneReviews,galactosemia,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,GeneReviews,gale-def,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,ICD-10-CM,E74.21,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,MeSH,D005693,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,230200,,,,,,
,,,,,,,,,db,key,,,,,,
,,,html:p,,,,,,OMIM,230350,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,230400,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,352,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",124302001,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",124354006,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",190745006,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,related-gene-list,,,,"SNOMED CT",8849004,,,,,,
Galactosialidosis,https://ghr.nlm.nih.gov/condition/galactosialidosis,"The prevalence of galactosialidosis is unknown; more than 100 cases have",html:p,"autosomal recessive",,CTSA,https://ghr.nlm.nih.gov/gene/CTSA,"deficiency of cathepsin A",db,key,2009-02,2017-12-29,,,,
,,"been reported. Approximately 60 percent of people with galactosialidosis have",,,,,,"Goldberg syndrome",GTR,C0268233,,,,,,
,,"the juvenile/adult form. Most people with this type of the condition are of",,,,,,"lysosomal protective protein deficiency",db,key,,,,,,
,,"Japanese descent.",html:p,,,,,"neuraminidase deficiency with beta-galactosidase deficiency",MeSH,D020140,,,,,,
,,,,,,,,"PPCA deficiency",db,key,,,,,,
,,,,,,,,,OMIM,256540,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,351,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",35691006,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Gastrointestinal stromal tumor",https://ghr.nlm.nih.gov/condition/gastrointestinal-stromal-tumor,"Approximately 5,000 new cases of GIST are diagnosed in the United States",html:p,"autosomal dominant",,BRAF,https://ghr.nlm.nih.gov/gene/BRAF,"gastrointestinal stromal neoplasm",db,key,2014-09,2017-12-29,,,,
,,"each year. However, GISTs may be more common than this estimate because small",,memo,related-gene,gene-symbol,ghr-page,"gastrointestinal stromal sarcoma",GTR,C0238198,,,,,,
,,"tumors may remain undiagnosed.",,"autosomal recessive",,KIT,https://ghr.nlm.nih.gov/gene/KIT,GIST,db,key,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,MeSH,D046152,,,,,,
,,,,,,PDGFRA,https://ghr.nlm.nih.gov/gene/PDGFRA,,db,key,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,OMIM,606764,,,,,,
,,,,,,SDHA,https://ghr.nlm.nih.gov/gene/SDHA,,db,key,,,,,,
,,,html:p,,related-gene,gene-symbol,ghr-page,,Orphanet,44890,,,,,,
,,,,,,SDHB,https://ghr.nlm.nih.gov/gene/SDHB,,db,key,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,"SNOMED CT",420120006,,,,,,
,,,,,,SDHC,https://ghr.nlm.nih.gov/gene/SDHC,,,,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,,,,,,,,
,,,,,,SDHD,https://ghr.nlm.nih.gov/gene/SDHD,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Gaucher disease",https://ghr.nlm.nih.gov/condition/gaucher-disease,"Gaucher disease occurs in 1 in 50,000 to 100,000 people in the general",html:p,"autosomal recessive",,GBA,https://ghr.nlm.nih.gov/gene/GBA,"cerebroside lipidosis syndrome",db,key,2014-09,2017-12-29,,,,
,,"population. Type 1 is the most common form of the disorder; it occurs more",,,,,,"Gaucher splenomegaly",GTR,C0017205,,,,,,
,,"frequently in people of Ashkenazi (eastern and central European) Jewish heritage",,,,,,"Gaucher syndrome",db,key,,,,,,
,,"than in those with other backgrounds. This form of the condition affects 1 in",,,,,,"Gaucher's disease",GTR,C0268250,,,,,,
,,"500 to 1,000 people of Ashkenazi Jewish heritage. The other forms of Gaucher",html:p,,,,,"Gauchers disease",db,key,,,,,,
,,"disease are uncommon and do not occur more frequently in people of Ashkenazi",,,,,,GD,GTR,C0268251,,,,,,
,,"Jewish descent.",,,,,,"glucocerebrosidase deficiency",db,key,,,,,,
,,,,,,,,glucocerebrosidosis,GTR,C1856476,,,,,,
,,,,,,,,"glucosyl cerebroside lipidosis",db,key,,,,,,
